Name,Score
mobility radeon hd 545v,199
mobility radeon hd 5470,236
mobility radeon hd 550v,266
mobility radeon hd 5570,525
mobility radeon hd 560v,318
mobility radeon hd 5650,441
mobility radeon hd 565v,353
mobility radeon hd 5730,507
mobility radeon hd 5850,763
mobility radeon hd 5870,1089
mobility radeon hd serie 4200,96
mobility radeon x1300,39
mobility radeon x1350,39
mobility radeon x1400,42
mobility radeon x1450,33
mobility radeon x1600,92
mobility radeon x1700,104
mobility radeon x1800,130
mobility radeon x1900,134
mobility radeon x2300,48
mobility radeon x2300 hd,48
mobility radeon x2500,81
mobility radeon x300,33
mobility radeon x600,50
mobility radeon x600 se,49
mobility radeon x700,66
mobility radeon x700 xl,59
mobility radeon xpress 200,27
mobility radeon. hd 5470,215
mobility/radeon 9000,4
monster geforce gtx 675m,2637
moore threads mtt s30,580
moore threads s3000 mtvgpu-1132,1997
mxgpu,1282
n16p-gx,1204
n18e-q1,2525
nforce 750a sli,83
nforce 760i sli,140
nforce 780a sli,92
nforce 980a/780a sli,164
nv44,15
nvidia a10,21687
nvidia a10-4q,2756
nvidia a10g,17660
nvidia a40,13900
nvidia a40-12q,4335
nvidia a40-4q,4240
nvidia a40-8q,4681
nvidia geforce3 ti200,5
nvidia titan x,13659
nvidia titan xp,18775
