Name,Score
amd phenom ii x2 560,1381
amd phenom ii x2 565,1453
amd phenom ii x2 570,1437
amd phenom ii x2 b53,1137
amd phenom ii x2 b55,1222
amd phenom ii x2 b57,1260
amd phenom ii x2 b59,1407
amd phenom ii x3 700e,1451
amd phenom ii x3 705e,1222
amd phenom ii x3 710,1585
amd phenom ii x3 720,1600
amd phenom ii x3 740,1424
amd phenom ii x3 b73,1671
amd phenom ii x3 b75,1764
amd phenom ii x3 b77,1844
amd phenom ii x4 805,2001
amd phenom ii x4 810,2019
amd phenom ii x4 820,2095
amd phenom ii x4 830,2072
amd phenom ii x4 840,2443
amd phenom ii x4 840t,2367
amd phenom ii x4 850,2441
amd phenom ii x4 900e,1727
amd phenom ii x4 905e,2014
amd phenom ii x4 910,1776
amd phenom ii x4 910e,2114
amd phenom ii x4 920,2202
amd phenom ii x4 925,2257
amd phenom ii x4 940,2351
amd phenom ii x4 945,2418
amd phenom ii x4 955,2539
amd phenom ii x4 960t,2366
amd phenom ii x4 965,2655
amd phenom ii x4 970,2743
amd phenom ii x4 973,2204
amd phenom ii x4 975,2610
amd phenom ii x4 977,2377
amd phenom ii x4 980,2839
amd phenom ii x4 b05e,1906
amd phenom ii x4 b15e,1825
amd phenom ii x4 b25,2108
amd phenom ii x4 b35,2417
amd phenom ii x4 b40,2238
amd phenom ii x4 b45,2311
amd phenom ii x4 b50,2448
amd phenom ii x4 b55,2584
amd phenom ii x4 b60,2627
amd phenom ii x4 b65,2690
amd phenom ii x4 b70,2303
amd phenom ii x4 b93,2159
amd phenom ii x4 b95,2427
amd phenom ii x4 b97,2535
amd phenom ii x4 b99,2536
amd phenom ii x6 1035t,3014
amd phenom ii x6 1045t,3234
amd phenom ii x6 1055t,3360
amd phenom ii x6 1065t,3398
amd phenom ii x6 1075t,3500
amd phenom ii x6 1090t,3807
amd phenom ii x6 1100t,3923
amd phenom ii x6 1405t,3371
amd phenom ii x620 dual-core,1262
amd phenom ii x640 dual-core,1165
amd phenom ii x920 quad-core,1669
amd phenom ii x940 quad-core,1797
amd phenom x2 dual-core ge-5060,1566
amd phenom x2 dual-core ge-6060,1722
amd phenom x2 dual-core ge-7060,1010
amd phenom x2 dual-core gp-7730,884
amd phenom x3 8550,1151
amd phenom x4 quad-core gp-9500,1297
amd phenom x4 quad-core gp-9530,1228
amd phenom x4 quad-core gp-9600,1649
amd phenom x4 quad-core gp-9730,1784
amd phenom x4 quad-core gs-6560,1063
amd pro a10-8700b,2212
amd pro a10-8730b,2306
amd pro a10-8750b,2971
amd pro a10-8770,3567
amd pro a10-8770e,3016
amd pro a10-8850b,3752
amd pro a10-9700,3579
amd pro a10-9700b,2530
amd pro a10-9700e,3029
amd pro a12-8800b,2673
amd pro a12-8830b,2634
amd pro a12-8870,3787
amd pro a12-8870e,3010
amd pro a12-9800,3775
amd pro a12-9800b,2705
amd pro a12-9800e,3113
amd pro a4-3350b apu,1784
amd pro a4-4350b,1077
amd pro a4-8350b,1690
amd pro a6-7350b,1319
amd pro a6-8500b,1592
amd pro a6-8530b,1158
amd pro a6-8550b,1882
amd pro a6-8570,1916
amd pro a6-8570e,1652
amd pro a6-9500,1804
amd pro a6-9500b,1357
amd pro a6-9500e,1689
amd pro a8-8600b,2232
amd pro a8-8650b,3218
amd pro a8-8670e,3197
amd pro a8-9600,3318
amd pro a8-9600b,2195
amd qc-4000,1155
amd r-260h apu,954
amd r-272f apu,1215
amd r-460l apu,1538
amd r-464l apu,1773
amd rx-225fb,892
amd rx-425bb,2637
amd rx-427bb,2706
amd ryzen 3 1200,6258
amd ryzen 3 1300x,6920
amd ryzen 3 210,13180
amd ryzen 3 2200g,6741
amd ryzen 3 2200ge,5916
amd ryzen 3 2200u,3654
amd ryzen 3 2300u,5519
amd ryzen 3 2300x,7552
amd ryzen 3 3100,11549
amd ryzen 3 3200g,7003
amd ryzen 3 3200ge,7270
amd ryzen 3 3200u,3736
amd ryzen 3 3250c,3153
amd ryzen 3 3250u,3747
